"sound","word","token","speaker","pulses","points","pointsNorm","tokenNorm","pointsOrig","tokenWord","intensity","tokenSoundNorm","soundSurround","gender"
"lˀ","rolˀal","1","F 1971",0.00539999999999985,0.0165000000000006,0.113714679531361,"word",0.0137999999999998,"rolˀal_1",66.5144,"lˀ | word","olˀa","F"
"lˀ","rolˀal","1","F 1971",0.00550000000000139,0.0219500000000004,0.151274982770504,"word",0.0191999999999997,"rolˀal_1",66.042,"lˀ | word","olˀa","F"
"lˀ","rolˀal","1","F 1971",0.00599999999999845,0.0276999999999994,0.190902825637486,"word",0.0247000000000011,"rolˀal_1",65.5544,"lˀ | word","olˀa","F"
"lˀ","rolˀal","1","F 1971",0.00620000000000154,0.0337999999999994,0.23294279807029,"word",0.0306999999999995,"rolˀal_1",65.0185,"lˀ | word","olˀa","F"
"lˀ","rolˀal","1","F 1971",0.00769999999999982,0.040750000000001,0.28084079944866,"word",0.036900000000001,"rolˀal_1",64.3395,"lˀ | word","olˀa","F"
"lˀ","rolˀal","1","F 1971",0.0129000000000001,0.05105,0.351826326671259,"word",0.0446000000000009,"rolˀal_1",63.3194,"lˀ | word","olˀa","F"
"lˀ","rolˀal","1","F 1971",0.0162999999999993,0.0656500000000015,0.452446588559621,"word",0.057500000000001,"rolˀal_1",62.2795,"lˀ | word","olˀa","F"
"lˀ","rolˀal","1","F 1971",0.0172000000000008,0.0823999999999998,0.567884217780835,"word",0.0738000000000003,"rolˀal_1",63.6386,"lˀ | word","olˀa","F"
"lˀ","rolˀal","1","F 1971",0.0106999999999999,0.096350000000001,0.664024810475536,"word",0.0910000000000011,"rolˀal_1",66.7825,"lˀ | word","olˀa","F"
"lˀ","rolˀal","1","F 1971",0.00680000000000014,0.1051,0.724328049620947,"word",0.101700000000001,"rolˀal_1",68.6593,"lˀ | word","olˀa","F"
"lˀ","rolˀal","1","F 1971",0.00679999999999836,0.1119,0.771192281185386,"word",0.108500000000001,"rolˀal_1",69.9853,"lˀ | word","olˀa","F"
"lˀ","rolˀal","1","F 1971",0.0063000000000013,0.118449999999999,0.816333563059947,"word",0.1153,"rolˀal_1",70.5494,"lˀ | word","olˀa","F"
"lˀ","rolˀal","1","F 1971",0.00589999999999868,0.124549999999999,0.858373535492752,"word",0.121600000000001,"rolˀal_1",70.9132,"lˀ | word","olˀa","F"
"lˀ","rolˀal","1","F 1971",0.00609999999999999,0.130549999999999,0.899724328049611,"word",0.1275,"rolˀal_1",71.0088,"lˀ | word","olˀa","F"
"lˀ","rolˀal","1","F 1971",0.00609999999999999,0.136649999999999,0.941764300482415,"word",0.133599999999999,"rolˀal_1",70.6236,"lˀ | word","olˀa","F"
"lˀ","rolˀal","1","F 1971",0.00540000000000163,0.1424,0.981392143349409,"word",0.139699999999999,"rolˀal_1",70.2474,"lˀ | word","olˀa","F"
"lˀ","rolˀal","1","F 1971",0.00540000000000163,0.145100000000001,1,"word",0.145100000000001,"rolˀal_1",70.2474,"lˀ | word","olˀa","F"
"lˀ","rolˀal","2","F 1971",0.000799999999999912,0,0,"word",0,"rolˀal_2",67.0923,"lˀ | word","olˀa","F"
"lˀ","rolˀal","2","F 1971",0.000799999999999912,0.000399999999999068,0.00301431801054309,"word",0,"rolˀal_2",67.0923,"lˀ | word","olˀa","F"
"lˀ","rolˀal","2","F 1971",0.00570000000000093,0.00365000000000038,0.0275056518462726,"word",0.000799999999999912,"rolˀal_2",66.9028,"lˀ | word","olˀa","F"
"lˀ","rolˀal","2","F 1971",0.00559999999999938,0.00929999999999964,0.0700828937452875,"word",0.00650000000000084,"rolˀal_2",66.5719,"lˀ | word","olˀa","F"
"lˀ","rolˀal","2","F 1971",0.00570000000000093,0.0149500000000007,0.112660135644316,"word",0.0121000000000002,"rolˀal_2",66.1821,"lˀ | word","olˀa","F"
"lˀ","rolˀal","2","F 1971",0.00569999999999915,0.0206499999999998,0.155614167294649,"word",0.0178000000000011,"rolˀal_2",65.54,"lˀ | word","olˀa","F"
"lˀ","rolˀal","2","F 1971",0.00590000000000046,0.0264500000000005,0.19932177844763,"word",0.0235000000000003,"rolˀal_2",64.8517,"lˀ | word","olˀa","F"
"lˀ","rolˀal","2","F 1971",0.0130999999999997,0.0359499999999997,0.27091183119819,"word",0.0294000000000008,"rolˀal_2",63.2804,"lˀ | word","olˀa","F"
"lˀ","rolˀal","2","F 1971",0.0175000000000001,0.0512499999999996,0.386209495101731,"word",0.0425000000000004,"rolˀal_2",60.3066,"lˀ | word","olˀa","F"
"lˀ","rolˀal","2","F 1971",0.0210000000000008,0.0705000000000009,0.531273549359465,"word",0.0600000000000005,"rolˀal_2",59.4615,"lˀ | word","olˀa","F"
"lˀ","rolˀal","2","F 1971",0.0158999999999985,0.0889500000000005,0.670308967596086,"word",0.0810000000000013,"rolˀal_2",63.5161,"lˀ | word","olˀa","F"
"lˀ","rolˀal","2","F 1971",0.00990000000000002,0.101849999999999,0.767520723436315,"word",0.0968999999999998,"rolˀal_2",66.7601,"lˀ | word","olˀa","F"
"lˀ","rolˀal","2","F 1971",0.0063000000000013,0.109950000000001,0.828560663149973,"word",0.1068,"rolˀal_2",68.5354,"lˀ | word","olˀa","F"
"lˀ","rolˀal","2","F 1971",0.0066999999999986,0.11645,0.877543330821406,"word",0.113100000000001,"rolˀal_2",69.4657,"lˀ | word","olˀa","F"
"lˀ","rolˀal","2","F 1971",0.00600000000000023,0.1228,0.925395629238884,"word",0.1198,"rolˀal_2",70.2781,"lˀ | word","olˀa","F"
"lˀ","rolˀal","2","F 1971",0.00609999999999999,0.12885,0.970987189148456,"word",0.1258,"rolˀal_2",70.7326,"lˀ | word","olˀa","F"
"lˀ","rolˀal","2","F 1971",0.000799999999999912,0.132300000000001,0.996985681989457,"word",0.1319,"rolˀal_2",70.7254,"lˀ | word","olˀa","F"
"lˀ","rolˀal","2","F 1971",0.000799999999999912,0.1327,1,"word",0.1327,"rolˀal_2",70.7254,"lˀ | word","olˀa","F"
"lˀ","rolˀal","3","F 1971",0.000700000000000145,0,0,"word",0,"rolˀal_3",68.2559,"lˀ | word","olˀa","F"
"lˀ","rolˀal","3","F 1971",0.000700000000000145,0.000350000000000961,0.0027955271565572,"word",0,"rolˀal_3",68.2559,"lˀ | word","olˀa","F"
"lˀ","rolˀal","3","F 1971",0.00579999999999892,0.00359999999999872,0.0287539936102135,"word",0.000700000000000145,"rolˀal_3",67.9522,"lˀ | word","olˀa","F"
"lˀ","rolˀal","3","F 1971",0.00570000000000093,0.00934999999999953,0.0746805111821051,"word",0.00649999999999906,"rolˀal_3",67.3928,"lˀ | word","olˀa","F"
"lˀ","rolˀal","3","F 1971",0.00569999999999915,0.0150499999999987,0.120207667731619,"word",0.0122,"rolˀal_3",66.8332,"lˀ | word","olˀa","F"
"lˀ","rolˀal","3","F 1971",0.00590000000000046,0.0208499999999994,0.166533546325874,"word",0.0178999999999991,"rolˀal_3",66.1757,"lˀ | word","olˀa","F"
"lˀ","rolˀal","3","F 1971",0.00590000000000046,0.0267499999999998,0.213658146964856,"word",0.0237999999999996,"rolˀal_3",65.4327,"lˀ | word","olˀa","F"
"lˀ","rolˀal","3","F 1971",0.0063999999999993,0.0328999999999997,0.262779552715654,"word",0.0297000000000001,"rolˀal_3",64.6262,"lˀ | word","olˀa","F"
"lˀ","rolˀal","3","F 1971",0.00760000000000005,0.0398999999999994,0.318690095846642,"word",0.0360999999999994,"rolˀal_3",63.4239,"lˀ | word","olˀa","F"
"lˀ","rolˀal","3","F 1971",0.00869999999999926,0.0480499999999999,0.383785942492014,"word",0.0436999999999994,"rolˀal_3",61.9718,"lˀ | word","olˀa","F"
"lˀ","rolˀal","3","F 1971",0.0112000000000005,0.0579999999999998,0.463258785942492,"word",0.0523999999999987,"rolˀal_3",60.7257,"lˀ | word","olˀa","F"
"lˀ","rolˀal","3","F 1971",0.0103000000000009,0.0687499999999996,0.549121405750798,"word",0.0635999999999992,"rolˀal_3",60.0897,"lˀ | word","olˀa","F"
"lˀ","rolˀal","3","F 1971",0.0180999999999987,0.0829500000000003,0.662539936102241,"word",0.0739000000000001,"rolˀal_3",61.1802,"lˀ | word","olˀa","F"
"lˀ","rolˀal","3","F 1971",0.0116000000000014,0.0977999999999994,0.781150159744407,"word",0.0919999999999987,"rolˀal_3",63.7441,"lˀ | word","olˀa","F"
"lˀ","rolˀal","3","F 1971",0.00939999999999941,0.1083,0.865015974440897,"word",0.1036,"rolˀal_3",66.3078,"lˀ | word","olˀa","F"
"lˀ","rolˀal","3","F 1971",0.0085999999999995,0.1173,0.936900958466459,"word",0.113,"rolˀal_3",68.2483,"lˀ | word","olˀa","F"
